,TotalPop,Men,Women,White,Hispanic,Black,Native,Asian,Pacific,Citizen,Income,Employed,PrivateWork,SelfEmployed,Unemployment,Professional,Service,Office,Construction,Production,WhiteTotalPop,WhiteMaleTotalPop,WhiteFemaleTotalPop,HispanicTotalPop,HispanicMaleTotalPop,HispanicFemaleTotalPop,BlackTotalPop,BlackMaleTotalPop,BlackFemaleTotalPop,NativeTotalPop,NativeMaleTotalPop,NativeFemaleTotalPop,AsianTotalPop,AsianMaleTotalPop,AsianFemaleTotalPop,PacificTotalPop,PacificMaleTotalPop,PacificFemaleTotalPop,TotalMalePercentage,TotalFemalePercentage,TotalWhitePopPercentage,TotalWhiteMalePercentage,TotalWhiteFemalePercentage,TotalHispanicPopPercentage,TotalHispanicMalePercentage,TotalHispanicFemalePercentage,TotalBlackPopPercentage,TotalBlackMalePercentage,TotalBlackFemalePercentage,TotalNativePercentage,TotalAsianPopPercentage,TotalAsianMalePercentage,TotalAsianFemalePercentage,TotalPacificPopPercentage,TotalPacificMalePercentage,TotalPacificFemalePercentage,NonCitizen,CitizenPercentage,NonCitizenPercentage,EmployedPct,MaleEmployedCountEst,FemaleEmployedCountEst,UnemployedCount,TotalMaleUnemployedEst,TotalFemaleUnemployedEst,TotalPrivateWorkCount,TotalSelfEmployedCount,TotalProfessionalCount,TotalServiceCount,TotalOfficeCount,TotalConstructionCount,TotalProductionCount
0,4385,2190,2195,94.3,1.6,0.8,0.1,0.6,0.0,3313,51500.0,2193,68.2,16.8,6.8,39.3,13.6,23.3,15.1,8.7,4135,2065,2070,70,35,35,35,18,18,4,2,2,26,13,13,0,0,0,0.49942987457240595,0.500570125427594,0.942987457240593,0.4709236031927024,0.47206385404789053,0.01596351197263398,0.00798175598631699,0.00798175598631699,0.00798175598631699,0.004104903078677309,0.004104903078677309,0.0009122006841505131,0.005929304446978335,0.0029646522234891676,0.0029646522234891676,0.0,0.0,0.0,1072,0.7555302166476625,0.24446978335233752,0.5001140250855188,1095,1098,298,149,149,2991,737,1723,596,1022,662,381
1,2395,1246,1149,92.9,3.0,0.0,0.0,0.6,0.0,1945,59048.0,1326,67.0,13.0,4.3,41.7,14.6,24.0,13.8,6.0,2225,1158,1067,72,37,34,0,0,0,0,0,0,14,7,7,0,0,0,0.520250521920668,0.47974947807933194,0.9290187891440501,0.48350730688935284,0.4455114822546973,0.030062630480167014,0.015448851774530271,0.014196242171189978,0.0,0.0,0.0,0.0,0.005845511482254697,0.0029227557411273487,0.0029227557411273487,0.0,0.0,0.0,450,0.8121085594989561,0.18789144050104384,0.5536534446764092,690,636,103,54,49,1605,311,999,350,575,331,144
2,2811,1416,1395,94.1,1.3,0.6,0.4,0.6,0.0,2118,60163.0,1568,63.9,17.7,4.0,49.1,12.1,18.4,12.5,8.0,2645,1332,1313,37,18,18,17,8,8,11,6,6,17,8,8,0,0,0,0.503735325506937,0.49626467449306294,0.9409462824617574,0.47385272145144075,0.4670935610103166,0.013162575595873355,0.0064034151547491995,0.0064034151547491995,0.006047669868374244,0.002845962290999644,0.002845962290999644,0.003913198150124511,0.006047669868374244,0.002845962290999644,0.002845962290999644,0.0,0.0,0.0,693,0.7534685165421559,0.24653148345784417,0.5578086090359303,790,778,112,57,56,1796,498,1380,340,517,351,225
3,5089,2556,2533,96.1,0.9,0.0,0.0,0.9,0.0,4180,60400.0,3108,75.5,7.2,6.4,44.3,16.3,20.1,11.0,8.4,4891,2456,2434,46,23,23,0,0,0,0,0,0,46,23,23,0,0,0,0.5022597759874239,0.49774022401257617,0.9610925525643544,0.48260955000982514,0.4782865002947534,0.009039103949695421,0.0045195519748477105,0.0045195519748477105,0.0,0.0,0.0,0.0,0.009039103949695421,0.0045195519748477105,0.0045195519748477105,0.0,0.0,0.0,909,0.8213794458636274,0.17862055413637257,0.6107290233837689,1561,1547,326,164,162,3842,366,2254,830,1023,560,427
4,3060,1549,1511,93.4,3.0,0.0,2.3,0.9,0.0,2428,70556.0,1778,72.1,7.4,3.6,44.3,16.8,20.4,9.7,8.8,2858,1447,1411,92,46,45,0,0,0,70,36,35,28,14,14,0,0,0,0.5062091503267974,0.49379084967320264,0.9339869281045752,0.47287581699346404,0.46111111111111114,0.030065359477124184,0.015032679738562092,0.014705882352941176,0.0,0.0,0.0,0.02287581699346405,0.009150326797385621,0.004575163398692811,0.004575163398692811,0.0,0.0,0.0,632,0.7934640522875817,0.2065359477124183,0.581045751633987,900,878,110,56,54,2206,226,1356,514,624,297,269
5,2850,1399,1451,93.4,0.7,0.5,0.3,2.4,0.2,2318,56941.0,1312,70.0,9.8,7.1,39.6,15.9,23.6,11.7,9.1,2662,1307,1355,20,10,10,14,7,7,9,4,4,68,34,35,6,3,3,0.49087719298245613,0.5091228070175439,0.9340350877192982,0.45859649122807017,0.47543859649122805,0.007017543859649123,0.0035087719298245615,0.0035087719298245615,0.004912280701754386,0.002456140350877193,0.002456140350877193,0.003157894736842105,0.023859649122807018,0.011929824561403509,0.012280701754385965,0.002105263157894737,0.0010526315789473684,0.0010526315789473684,532,0.8133333333333334,0.18666666666666668,0.46035087719298246,644,668,202,99,103,1995,279,1129,453,673,333,259
6,2264,1091,1173,91.4,2.5,1.9,0.0,1.8,0.0,1793,67550.0,1209,68.1,11.1,11.4,66.5,13.2,15.3,1.8,3.1,2069,997,1072,57,27,29,43,21,22,0,0,0,41,20,21,0,0,0,0.4818904593639576,0.5181095406360424,0.9138692579505301,0.44037102473498235,0.4734982332155477,0.02517667844522968,0.011925795053003533,0.012809187279151944,0.018992932862190812,0.009275618374558304,0.009717314487632508,0.0,0.018109540636042403,0.0088339222614841,0.009275618374558304,0.0,0.0,0.0,471,0.7919611307420494,0.20803886925795054,0.5340106007067138,583,626,258,124,134,1542,251,1506,299,346,41,70
7,1462,718,744,96.4,0.9,0.0,0.0,1.0,0.0,1149,58375.0,722,66.3,9.7,6.7,53.5,15.7,24.4,3.7,2.8,1409,692,717,13,6,7,0,0,0,0,0,0,15,7,7,0,0,0,0.4911080711354309,0.5088919288645691,0.9637482900136799,0.47332421340629277,0.4904240766073871,0.008891928864569083,0.004103967168262654,0.0047879616963064295,0.0,0.0,0.0,0.0,0.010259917920656635,0.0047879616963064295,0.0047879616963064295,0.0,0.0,0.0,313,0.7859097127222983,0.21409028727770177,0.493844049247606,355,367,98,48,50,969,142,782,230,357,54,41
8,2311,999,1312,95.0,0.0,1.8,0.0,0.0,0.0,1840,53065.0,1239,70.0,6.6,2.3,53.2,13.6,20.7,4.6,7.9,2195,949,1246,0,0,0,42,18,24,0,0,0,0,0,0,0,0,0,0.43228039809606233,0.5677196019039377,0.9498052790999567,0.4106447425356988,0.5391605365642579,0.0,0.0,0.0,0.018173950670705322,0.007788836001730853,0.01038511466897447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471,0.796192124621376,0.20380787537862396,0.536131544785807,536,703,53,23,30,1618,153,1229,314,478,106,183
9,1675,782,893,95.0,1.8,0.1,0.0,1.7,0.0,1304,58448.0,829,67.4,6.6,2.0,52.5,9.8,27.6,5.1,5.1,1591,743,848,30,14,16,2,1,1,0,0,0,28,13,15,0,0,0,0.46686567164179105,0.533134328358209,0.9498507462686567,0.4435820895522388,0.506268656716418,0.01791044776119403,0.00835820895522388,0.00955223880597015,0.0011940298507462687,0.0005970149253731343,0.0005970149253731343,0.0,0.01671641791044776,0.007761194029850746,0.008955223880597015,0.0,0.0,0.0,371,0.7785074626865671,0.22149253731343282,0.4949253731343284,387,442,34,16,18,1129,111,879,164,462,85,85
10,2610,1169,1441,92.1,5.3,1.1,0.0,0.2,0.0,2073,66324.0,1414,69.0,8.5,3.3,53.3,9.7,21.8,6.8,8.4,2404,1077,1327,138,62,76,29,13,16,0,0,0,5,2,3,0,0,0,0.4478927203065134,0.5521072796934866,0.9210727969348659,0.4126436781609195,0.5084291187739464,0.052873563218390804,0.02375478927203065,0.029118773946360154,0.011111111111111112,0.004980842911877395,0.006130268199233717,0.0,0.0019157088122605363,0.0007662835249042146,0.0011494252873563218,0.0,0.0,0.0,537,0.7942528735632184,0.2057471264367816,0.5417624521072797,633,781,86,39,48,1801,222,1391,253,569,177,219
11,4154,1907,2247,97.8,0.0,0.0,0.0,0.0,0.0,3204,36828.0,2100,73.0,5.5,5.6,38.0,14.6,32.6,6.5,8.4,4063,1865,2198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45907558979297064,0.5409244102070294,0.9780934039480019,0.4489648531535869,0.529128550794415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950,0.77130476649013,0.22869523350987,0.5055368319691863,964,1136,233,107,126,3032,228,1579,606,1354,270,349
12,4731,2113,2618,90.2,3.0,4.8,1.1,0.6,0.0,3507,46780.0,2237,83.5,5.1,7.8,33.4,17.5,28.9,5.8,14.4,4267,1906,2361,142,63,79,227,101,126,52,23,29,28,13,16,0,0,0,0.4466286197421264,0.5533713802578736,0.9019234834073134,0.4028746565208201,0.4990488268864933,0.030014796026210103,0.013316423589093214,0.016698372437116887,0.04798139928133587,0.02134855210314944,0.02663284717818643,0.01099133375607694,0.005918410484041429,0.002747833439019235,0.0033819488480236735,0.0,0.0,0.0,1224,0.7412809131261889,0.258719086873811,0.47283872331430987,999,1238,369,165,204,3950,241,1580,828,1367,274,681
13,3902,1878,2024,96.6,1.1,0.3,0.0,0.0,0.0,2988,69696.0,2164,71.7,10.3,5.5,39.6,13.3,31.2,8.0,7.9,3769,1814,1955,43,21,22,12,6,6,0,0,0,0,0,0,0,0,0,0.4812916453100974,0.5187083546899026,0.9659149154279857,0.4648898001025115,0.5010251153254741,0.011019989748846746,0.005381855458739108,0.005638134290107637,0.0030753459764223477,0.0015376729882111738,0.0015376729882111738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914,0.7657611481291645,0.23423885187083546,0.5545873910814967,1042,1122,215,103,111,2798,402,1545,519,1217,312,308
14,3988,2091,1897,94.5,3.0,0.6,0.0,0.4,0.0,3137,59250.0,2307,80.6,3.4,2.9,34.1,18.4,25.1,8.2,14.2,3769,1976,1793,120,63,57,24,13,11,0,0,0,16,8,8,0,0,0,0.5243229689067201,0.47567703109327986,0.945085255767302,0.4954864593781344,0.4495987963891675,0.03009027081243731,0.01579739217652959,0.014292878635907722,0.006018054162487462,0.003259779338014042,0.0027582748244734203,0.0,0.004012036108324975,0.0020060180541624875,0.0020060180541624875,0.0,0.0,0.0,851,0.7866098294884654,0.2133901705115346,0.5784854563691073,1210,1097,116,61,55,3214,136,1360,734,1001,327,566
15,6898,3817,3081,93.7,3.0,0.8,0.0,1.5,0.0,5849,69358.0,3536,68.5,8.0,2.5,41.0,16.8,23.4,9.4,9.4,6463,3577,2887,207,115,92,55,31,25,0,0,0,103,57,46,0,0,0,0.5533487967526819,0.44665120324731805,0.9369382429689765,0.5185561032183241,0.4185271093070455,0.03000869817338359,0.016671498985213105,0.013337199188170484,0.007973325601623659,0.004494056248187881,0.003624238909828936,0.0,0.014931864308495217,0.008263264714409973,0.006668599594085242,0.0,0.0,0.0,1049,0.8479269353435779,0.15207306465642215,0.5126123514062046,1957,1579,172,95,77,4725,552,2828,1159,1614,648,648
16,1615,842,773,98.1,0.0,0.0,0.0,0.7,0.0,1279,65219.0,961,77.7,13.2,1.3,42.7,20.2,23.3,11.1,2.7,1584,826,758,0,0,0,0,0,0,0,0,0,11,6,5,0,0,0,0.5213622291021672,0.4786377708978328,0.9808049535603716,0.5114551083591331,0.4693498452012384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006811145510835914,0.0037151702786377707,0.0030959752321981426,0.0,0.0,0.0,336,0.7919504643962848,0.20804953560371517,0.595046439628483,501,460,21,11,10,1255,213,690,326,376,179,44
17,1701,799,902,95.4,1.3,0.3,0.4,0.4,0.0,1398,70500.0,1055,72.3,11.8,1.9,44.7,18.6,22.5,8.7,5.5,1623,762,861,22,10,12,5,2,3,7,3,4,7,3,4,0,0,0,0.4697236919459142,0.5302763080540859,0.9541446208112875,0.4479717813051146,0.5061728395061729,0.012933568489124045,0.005878894767783657,0.007054673721340388,0.0029394473838918285,0.0011757789535567313,0.001763668430335097,0.00411522633744856,0.00411522633744856,0.001763668430335097,0.0023515579071134627,0.0,0.0,0.0,303,0.8218694885361552,0.1781305114638448,0.6202233980011758,496,559,32,15,17,1230,201,760,316,383,148,94
18,1231,620,611,97.4,0.0,0.3,0.0,1.0,0.0,918,80000.0,716,76.1,10.6,1.8,52.4,13.8,15.8,10.1,8.0,1199,604,595,0,0,0,4,2,2,0,0,0,12,6,6,0,0,0,0.503655564581641,0.49634443541835904,0.9740048740861088,0.49065800162469536,0.4833468724614135,0.0,0.0,0.0,0.003249390739236393,0.0016246953696181965,0.0016246953696181965,0.0,0.00974817221770918,0.00487408610885459,0.00487408610885459,0.0,0.0,0.0,313,0.7457351746547523,0.25426482534524775,0.5816409423233144,361,355,22,11,11,937,130,645,170,194,124,98
